time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,53.21,-114.46,40.00,55.00,76.40,40.00,55.00,76.40,40.00,55.00,76.40
1951-01-01,53.21,-114.46,37.80,60.50,78.00,37.80,60.50,78.00,37.80,60.50,78.00
1952-01-01,53.21,-114.46,45.60,60.50,73.70,45.60,60.50,73.70,45.60,60.50,73.70
1953-01-01,53.21,-114.46,39.10,59.50,78.70,39.10,59.50,78.70,39.10,59.50,78.70
1954-01-01,53.21,-114.46,39.40,60.50,74.00,39.40,60.50,74.00,39.40,61.50,74.00
1955-01-01,53.21,-114.46,43.00,57.50,77.80,43.00,57.50,77.80,43.00,57.00,77.80
1956-01-01,53.21,-114.46,37.50,51.00,74.70,37.50,51.00,74.70,37.50,51.00,74.70
1957-01-01,53.21,-114.46,44.30,63.00,83.40,44.30,63.00,83.40,44.30,63.00,83.40
1958-01-01,53.21,-114.46,47.60,58.00,78.10,47.60,58.00,78.10,47.60,58.50,78.10
1959-01-01,53.21,-114.46,41.30,61.50,78.50,41.30,61.50,78.50,41.30,61.50,78.50
1960-01-01,53.21,-114.46,38.00,58.50,81.90,38.00,58.50,81.90,38.30,58.50,81.90
1961-01-01,53.21,-114.46,41.60,61.50,75.00,41.60,61.50,75.00,41.60,62.00,75.00
1962-01-01,53.21,-114.46,36.20,58.00,75.70,36.20,58.00,75.70,39.30,58.00,75.70
1963-01-01,53.21,-114.46,43.30,55.50,66.70,43.30,55.50,66.70,43.30,55.50,66.70
1964-01-01,53.21,-114.46,50.20,65.50,88.90,50.20,65.50,88.90,50.20,66.50,88.90
1965-01-01,53.21,-114.46,47.60,58.00,77.30,47.60,58.00,77.30,47.60,58.00,77.60
1966-01-01,53.21,-114.46,43.90,63.50,73.70,43.90,63.50,73.70,43.90,65.00,73.70
1967-01-01,53.21,-114.46,30.60,53.00,74.90,30.60,53.00,74.90,30.60,53.00,74.90
1968-01-01,53.21,-114.46,35.60,60.50,81.90,35.60,60.50,81.90,37.00,60.50,81.90
1969-01-01,53.21,-114.46,43.20,60.50,81.40,43.20,60.50,81.40,43.20,60.50,81.40
1970-01-01,53.21,-114.46,41.60,64.00,79.10,41.60,64.00,79.10,41.60,64.00,80.30
1971-01-01,53.21,-114.46,38.30,55.50,70.00,38.30,55.50,70.00,38.30,55.50,70.00
1972-01-01,53.21,-114.46,47.50,61.00,72.50,47.50,61.00,72.50,51.90,61.00,72.50
1973-01-01,53.21,-114.46,38.30,60.00,75.70,38.30,60.00,75.70,38.30,60.00,75.70
1974-01-01,53.21,-114.46,40.90,58.50,76.80,40.90,58.50,76.80,40.90,58.50,76.80
1975-01-01,53.21,-114.46,51.90,63.50,82.40,51.90,63.50,82.40,51.90,63.50,82.40
1976-01-01,53.21,-114.46,40.90,59.50,76.00,40.90,59.50,76.00,41.20,59.50,76.00
1977-01-01,53.21,-114.46,40.90,56.00,63.70,40.90,56.00,63.70,40.90,56.00,63.70
1978-01-01,53.21,-114.46,41.90,54.50,72.00,41.90,54.50,72.00,44.60,54.50,72.00
1979-01-01,53.21,-114.46,35.50,54.00,83.70,35.50,54.00,83.70,35.50,54.00,83.70
1980-01-01,53.21,-114.46,47.60,62.00,75.40,46.90,61.00,75.40,46.90,61.00,75.70
1981-01-01,53.21,-114.46,43.20,58.00,83.90,43.20,58.00,83.90,43.20,58.00,87.00
1982-01-01,53.21,-114.46,48.30,61.50,84.90,48.30,61.50,84.90,48.00,61.00,85.50
1983-01-01,53.21,-114.46,44.60,58.00,77.90,44.60,58.50,77.50,44.60,58.50,77.90
1984-01-01,53.21,-114.46,41.20,58.00,77.80,41.20,58.00,77.80,41.20,57.50,77.80
1985-01-01,53.21,-114.46,47.00,57.00,77.40,47.30,56.50,78.40,47.00,56.50,77.70
1986-01-01,53.21,-114.46,41.20,56.00,70.40,40.90,55.50,70.40,41.90,55.50,70.40
1987-01-01,53.21,-114.46,42.50,56.50,70.00,42.50,57.00,69.70,42.50,56.50,69.00
1988-01-01,53.21,-114.46,45.60,55.50,76.00,45.30,54.50,76.70,45.60,55.50,78.70
1989-01-01,53.21,-114.46,43.90,57.50,72.00,44.50,56.00,71.70,44.50,56.50,72.00
1990-01-01,53.21,-114.46,36.10,57.00,79.50,36.10,59.00,79.50,36.40,60.50,80.20
1991-01-01,53.21,-114.46,37.00,64.00,72.00,37.30,63.50,73.40,37.00,63.50,71.70
1992-01-01,53.21,-114.46,35.30,57.00,79.00,34.30,57.00,78.40,34.30,57.00,81.80
1993-01-01,53.21,-114.46,37.30,55.00,65.80,37.00,54.50,65.80,37.00,55.00,65.80
1994-01-01,53.21,-114.46,42.30,54.50,69.40,42.30,54.50,68.70,42.30,55.00,68.70
1995-01-01,53.21,-114.46,33.30,57.00,81.50,33.30,57.00,80.10,33.30,57.00,80.80
1996-01-01,53.21,-114.46,42.30,58.00,74.40,42.60,57.50,74.40,42.30,57.50,73.70
1997-01-01,53.21,-114.46,33.90,51.50,80.40,32.90,52.00,79.70,32.90,53.00,80.40
1998-01-01,53.21,-114.46,38.90,54.00,77.60,38.60,55.00,77.60,38.60,54.50,77.60
1999-01-01,53.21,-114.46,38.30,53.50,63.00,38.30,53.50,62.70,38.30,53.50,63.70
2000-01-01,53.21,-114.46,33.00,54.50,73.60,33.00,54.00,72.90,33.30,53.50,73.60
2001-01-01,53.21,-114.46,38.30,61.00,74.10,39.00,60.00,74.10,37.30,61.00,76.70
2002-01-01,53.21,-114.46,35.60,53.00,76.90,35.30,53.00,75.90,35.30,53.00,75.20
2003-01-01,53.21,-114.46,36.60,56.00,79.70,38.00,56.00,80.40,37.30,56.00,79.70
2004-01-01,53.21,-114.46,34.90,54.50,72.40,35.60,54.50,71.00,35.60,54.50,70.70
2005-01-01,53.21,-114.46,36.80,51.00,72.60,36.60,51.00,72.60,37.20,51.00,75.70
2006-01-01,53.21,-114.46,41.30,51.00,68.20,28.00,47.00,65.70,35.70,47.00,65.20
2007-01-01,53.21,-114.46,26.30,46.00,68.20,20.50,60.50,73.60,31.90,49.00,64.40
2008-01-01,53.21,-114.46,35.30,48.00,59.40,37.00,54.00,66.70,29.80,55.00,70.40
2009-01-01,53.21,-114.46,33.00,46.00,65.20,35.60,49.50,67.10,35.00,54.50,69.10
2010-01-01,53.21,-114.46,32.10,50.50,75.00,32.60,54.00,69.40,31.60,53.00,70.00
2011-01-01,53.21,-114.46,32.50,52.50,73.40,28.80,45.50,64.70,35.50,53.00,68.40
2012-01-01,53.21,-114.46,33.00,47.00,65.80,34.90,50.00,69.10,28.20,49.50,76.30
2013-01-01,53.21,-114.46,31.30,44.00,69.90,36.30,51.50,70.80,31.20,49.50,77.50
2014-01-01,53.21,-114.46,27.20,49.50,71.50,30.60,55.00,62.70,30.20,49.00,72.40
2015-01-01,53.21,-114.46,30.20,43.00,63.70,37.30,50.50,65.80,39.30,50.00,67.40
2016-01-01,53.21,-114.46,18.70,43.00,59.40,37.00,51.00,69.80,31.20,46.50,65.50
2017-01-01,53.21,-114.46,33.30,57.00,75.70,35.10,47.50,67.70,31.20,47.00,70.10
2018-01-01,53.21,-114.46,38.00,42.50,70.40,28.30,53.00,70.00,26.20,45.00,65.90
2019-01-01,53.21,-114.46,36.30,50.50,71.50,27.40,49.50,60.10,30.90,47.00,70.90
2020-01-01,53.21,-114.46,32.60,47.00,65.00,33.60,47.50,63.70,28.60,48.50,67.00
2021-01-01,53.21,-114.46,36.60,50.00,60.70,31.80,54.00,66.40,33.60,53.50,61.00
2022-01-01,53.21,-114.46,34.30,56.00,69.80,33.60,53.50,75.40,29.20,43.50,63.70
2023-01-01,53.21,-114.46,33.30,46.50,63.10,29.30,46.00,78.50,24.90,43.00,64.10
2024-01-01,53.21,-114.46,28.60,46.50,71.20,26.30,42.00,56.60,28.30,45.00,67.80
2025-01-01,53.21,-114.46,39.00,48.50,75.20,30.90,51.50,68.10,34.60,50.00,66.00
2026-01-01,53.21,-114.46,33.90,50.00,60.40,29.30,43.50,57.00,34.30,47.50,67.40
2027-01-01,53.21,-114.46,25.00,43.00,67.70,30.60,49.50,61.10,26.60,45.50,59.70
2028-01-01,53.21,-114.46,26.20,45.00,57.70,22.60,43.00,69.00,20.60,41.50,61.70
2029-01-01,53.21,-114.46,32.30,46.00,67.30,33.00,54.00,72.70,25.30,42.50,61.70
2030-01-01,53.21,-114.46,33.90,47.00,57.80,34.00,53.50,64.40,22.30,38.00,67.00
2031-01-01,53.21,-114.46,24.30,52.00,70.10,26.90,45.50,60.70,32.60,49.00,59.70
2032-01-01,53.21,-114.46,26.90,48.00,72.20,22.80,43.00,64.40,31.60,49.00,63.70
2033-01-01,53.21,-114.46,32.30,44.50,63.80,27.60,42.50,65.50,25.60,44.50,64.70
2034-01-01,53.21,-114.46,26.30,44.00,59.10,28.90,41.50,58.70,20.60,39.50,66.70
2035-01-01,53.21,-114.46,27.50,48.50,69.70,22.10,43.50,73.20,23.30,40.00,60.90
2036-01-01,53.21,-114.46,32.00,51.50,58.40,30.60,41.50,62.70,29.20,50.00,71.90
2037-01-01,53.21,-114.46,29.60,47.50,63.40,23.60,37.00,54.40,18.30,45.50,58.80
2038-01-01,53.21,-114.46,27.70,50.00,63.00,28.00,42.00,55.50,27.00,40.50,52.70
2039-01-01,53.21,-114.46,22.60,41.00,69.10,24.60,43.00,59.40,17.20,41.00,67.40
2040-01-01,53.21,-114.46,23.80,41.50,53.50,29.30,39.50,60.80,26.30,40.00,68.80
2041-01-01,53.21,-114.46,30.60,49.00,72.10,24.60,42.00,60.20,16.70,35.50,62.10
2042-01-01,53.21,-114.46,32.60,48.50,64.50,23.30,41.50,51.00,20.30,40.00,56.80
2043-01-01,53.21,-114.46,30.10,50.00,59.40,21.50,35.50,56.70,16.60,38.00,57.40
2044-01-01,53.21,-114.46,20.00,45.00,69.10,23.00,42.00,55.70,22.00,42.50,56.00
2045-01-01,53.21,-114.46,18.40,43.50,65.70,26.00,36.50,63.20,18.50,41.50,60.20
2046-01-01,53.21,-114.46,29.90,43.00,60.80,19.30,37.00,53.00,24.00,40.50,59.10
2047-01-01,53.21,-114.46,23.10,44.00,64.70,25.00,34.50,55.60,18.10,37.50,55.30
2048-01-01,53.21,-114.46,33.60,48.50,61.40,18.90,47.50,63.10,20.60,33.00,52.70
2049-01-01,53.21,-114.46,23.20,50.50,64.70,20.20,36.00,61.90,19.30,34.00,57.70
2050-01-01,53.21,-114.46,26.00,44.50,61.70,24.00,41.00,57.20,22.20,36.00,52.60
2051-01-01,53.21,-114.46,31.00,41.00,63.00,22.20,35.50,58.90,19.30,39.00,55.40
2052-01-01,53.21,-114.46,29.00,49.00,59.10,21.60,36.00,49.70,16.20,42.50,61.50
2053-01-01,53.21,-114.46,27.30,47.00,68.20,19.00,32.00,51.10,18.00,37.00,48.80
2054-01-01,53.21,-114.46,25.30,45.00,57.90,24.00,38.50,51.40,21.60,35.00,56.40
2055-01-01,53.21,-114.46,27.90,39.00,58.60,22.00,34.50,56.30,15.00,35.00,56.40
2056-01-01,53.21,-114.46,22.20,33.00,51.70,18.30,38.50,56.90,21.30,38.50,52.10
2057-01-01,53.21,-114.46,23.90,43.50,58.70,21.60,41.00,57.90,17.30,30.50,61.80
2058-01-01,53.21,-114.46,22.30,47.50,64.50,19.00,37.00,54.70,18.30,34.50,48.70
2059-01-01,53.21,-114.46,20.10,36.00,65.60,19.60,38.00,61.10,6.30,31.00,45.70
2060-01-01,53.21,-114.46,23.60,38.50,54.10,24.30,42.50,57.40,12.10,30.50,57.70
2061-01-01,53.21,-114.46,17.20,40.00,58.10,25.60,41.00,51.00,12.90,33.50,56.70
2062-01-01,53.21,-114.46,18.50,42.50,66.00,16.30,37.00,50.00,15.80,34.00,46.80
2063-01-01,53.21,-114.46,25.00,40.00,63.50,18.10,41.50,61.70,11.10,24.00,47.00
2064-01-01,53.21,-114.46,25.30,42.50,66.10,14.60,29.00,45.10,12.60,25.50,47.70
2065-01-01,53.21,-114.46,26.60,38.00,65.10,16.90,33.50,60.00,19.60,29.50,54.90
2066-01-01,53.21,-114.46,25.30,43.00,57.70,17.20,27.00,42.90,17.30,31.00,56.20
2067-01-01,53.21,-114.46,31.00,41.50,54.00,23.30,32.00,49.90,14.20,29.00,50.00
2068-01-01,53.21,-114.46,30.30,44.50,61.20,8.60,34.00,55.10,12.60,26.00,45.70
2069-01-01,53.21,-114.46,25.30,43.50,67.20,21.20,35.00,65.00,6.60,23.00,41.50
2070-01-01,53.21,-114.46,21.30,44.50,56.50,20.50,37.50,55.00,8.10,23.50,45.70
2071-01-01,53.21,-114.46,27.30,41.50,53.10,11.60,32.00,48.80,9.30,25.00,44.70
2072-01-01,53.21,-114.46,23.50,49.00,59.40,18.60,34.50,53.70,8.20,34.00,46.40
2073-01-01,53.21,-114.46,23.90,40.00,54.70,20.30,36.00,54.70,5.90,29.50,54.90
2074-01-01,53.21,-114.46,23.30,36.00,50.40,20.90,39.00,52.20,9.20,30.00,41.70
2075-01-01,53.21,-114.46,24.20,39.00,54.10,18.30,32.50,53.20,12.60,28.50,38.70
2076-01-01,53.21,-114.46,25.30,37.50,54.20,18.30,33.00,46.40,11.60,22.50,41.10
2077-01-01,53.21,-114.46,26.60,45.00,66.40,19.90,31.00,54.00,9.80,24.00,45.30
2078-01-01,53.21,-114.46,17.90,45.00,67.90,18.00,35.00,49.30,9.50,21.50,42.30
2079-01-01,53.21,-114.46,27.90,44.50,57.70,16.30,32.50,52.40,5.50,23.00,44.10
2080-01-01,53.21,-114.46,28.00,42.50,56.40,24.20,36.50,48.00,5.90,17.50,50.70
2081-01-01,53.21,-114.46,26.30,39.50,61.90,17.20,31.50,52.70,4.50,24.00,41.50
2082-01-01,53.21,-114.46,20.00,39.50,61.90,18.60,28.00,54.00,3.60,20.00,30.00
2083-01-01,53.21,-114.46,22.30,39.50,59.50,18.00,35.50,60.40,8.00,20.50,42.90
2084-01-01,53.21,-114.46,27.20,43.50,58.10,16.30,26.00,48.40,14.00,24.00,45.20
2085-01-01,53.21,-114.46,20.80,43.50,52.80,15.60,35.50,59.30,9.30,24.50,44.10
2086-01-01,53.21,-114.46,26.00,42.00,59.00,14.90,36.00,46.80,5.30,18.50,38.70
2087-01-01,53.21,-114.46,25.20,42.50,53.00,23.30,33.50,51.80,6.90,20.00,39.10
2088-01-01,53.21,-114.46,22.90,39.00,54.40,15.90,37.50,59.20,7.90,22.00,40.80
2089-01-01,53.21,-114.46,20.00,41.50,57.70,15.30,31.00,51.20,4.20,17.00,45.10
2090-01-01,53.21,-114.46,24.00,44.00,69.20,9.50,31.50,44.70,7.00,20.50,35.10
2091-01-01,53.21,-114.46,26.00,44.00,54.40,20.60,32.50,46.40,8.20,18.00,31.70
2092-01-01,53.21,-114.46,19.60,46.00,58.80,14.30,37.00,48.40,4.30,24.00,43.50
2093-01-01,53.21,-114.46,25.60,40.50,65.10,15.30,31.50,49.70,8.30,22.00,40.40
2094-01-01,53.21,-114.46,23.40,46.00,57.00,20.30,36.00,53.80,5.50,21.50,47.30
2095-01-01,53.21,-114.46,13.90,43.50,57.20,12.30,28.50,52.40,4.90,24.50,44.80
2096-01-01,53.21,-114.46,22.60,39.00,62.40,14.60,36.00,51.90,10.00,20.00,38.50
2097-01-01,53.21,-114.46,27.30,36.50,51.70,14.00,38.00,54.20,7.60,17.00,35.60
2098-01-01,53.21,-114.46,29.60,48.00,57.70,11.20,33.50,54.20,2.60,15.00,32.50
2099-01-01,53.21,-114.46,24.00,38.50,58.70,11.90,28.50,51.70,5.00,18.00,32.80
2100-01-01,53.21,-114.46,19.90,40.00,55.00,20.10,37.00,55.80,6.60,18.50,31.70
1950-01-01,53.21,-112.71,45.30,63.50,85.50,45.30,63.50,85.50,46.00,63.50,85.50
1951-01-01,53.21,-112.71,45.30,67.50,87.10,45.30,67.50,87.10,45.30,67.50,87.10
1952-01-01,53.21,-112.71,51.30,67.00,79.00,51.30,67.00,79.00,51.30,67.00,79.00
1953-01-01,53.21,-112.71,46.00,68.00,85.00,46.00,68.00,85.00,46.00,68.00,85.00
1954-01-01,53.21,-112.71,46.50,67.00,83.50,46.50,67.00,83.50,46.50,69.00,83.50
1955-01-01,53.21,-112.71,48.80,63.00,80.10,48.80,63.00,80.10,48.80,63.00,80.10
1956-01-01,53.21,-112.71,43.30,62.00,84.80,43.30,62.00,84.80,43.30,62.00,85.40
1957-01-01,53.21,-112.71,48.60,70.00,90.00,48.60,70.00,90.00,48.60,70.00,90.00
1958-01-01,53.21,-112.71,54.20,66.50,85.40,54.20,66.50,85.40,54.20,66.50,85.40
1959-01-01,53.21,-112.71,49.00,68.00,83.70,49.00,68.00,83.70,49.00,68.00,83.70
1960-01-01,53.21,-112.71,44.00,69.50,91.20,44.00,69.50,91.20,44.30,69.50,91.20
1961-01-01,53.21,-112.71,48.90,66.50,83.70,48.90,66.50,83.70,48.90,67.00,83.70
1962-01-01,53.21,-112.71,44.50,65.00,84.70,44.50,65.00,84.70,45.70,65.00,84.70
1963-01-01,53.21,-112.71,53.50,61.50,76.40,53.50,61.50,76.40,53.50,61.50,76.40
1964-01-01,53.21,-112.71,58.00,74.00,98.60,58.00,74.00,98.60,58.00,74.00,98.60
1965-01-01,53.21,-112.71,56.00,69.00,82.50,56.00,69.00,82.50,56.00,69.00,82.50
1966-01-01,53.21,-112.71,47.50,72.50,85.10,47.50,72.50,85.10,47.50,72.50,85.10
1967-01-01,53.21,-112.71,36.00,60.00,85.70,36.00,60.00,85.70,36.00,61.00,85.70
1968-01-01,53.21,-112.71,41.20,71.50,89.10,41.20,71.50,89.10,41.20,71.50,89.10
1969-01-01,53.21,-112.71,50.00,69.50,88.70,50.00,69.50,88.70,50.00,69.50,88.70
1970-01-01,53.21,-112.71,53.30,71.00,86.30,53.30,71.00,86.30,53.30,71.00,87.20
1971-01-01,53.21,-112.71,47.00,64.00,77.40,47.00,64.00,77.40,47.00,64.00,77.40
1972-01-01,53.21,-112.71,55.60,67.00,79.40,55.60,67.00,79.40,55.90,67.00,79.40
1973-01-01,53.21,-112.71,41.20,64.00,83.70,41.20,64.00,83.70,41.90,64.00,83.70
1974-01-01,53.21,-112.71,46.50,66.00,83.10,46.50,66.00,83.10,46.50,66.00,83.10
1975-01-01,53.21,-112.71,55.80,68.50,90.20,55.80,68.50,90.20,55.80,68.50,90.20
1976-01-01,53.21,-112.71,46.90,67.50,87.20,46.90,67.50,87.20,47.20,67.50,87.20
1977-01-01,53.21,-112.71,46.30,65.00,72.70,46.30,65.00,72.70,46.30,65.00,72.70
1978-01-01,53.21,-112.71,48.90,62.00,77.10,48.90,62.00,77.10,50.30,62.00,77.10
1979-01-01,53.21,-112.71,42.90,62.50,88.60,42.90,62.50,88.60,42.90,62.50,88.60
1980-01-01,53.21,-112.71,52.60,71.00,81.80,52.20,70.50,81.10,52.20,71.00,81.10
1981-01-01,53.21,-112.71,47.90,64.50,93.20,46.90,64.00,94.30,46.90,64.00,93.60
1982-01-01,53.21,-112.71,55.30,68.50,96.00,56.00,69.00,96.00,56.00,68.50,96.00
1983-01-01,53.21,-112.71,52.60,67.50,83.40,52.90,68.00,83.70,52.60,69.00,83.40
1984-01-01,53.21,-112.71,45.80,65.50,87.50,45.80,65.50,86.90,45.80,65.50,86.90
1985-01-01,53.21,-112.71,51.70,63.50,81.70,51.70,63.50,81.70,52.80,64.00,81.00
1986-01-01,53.21,-112.71,46.60,60.50,77.40,48.00,61.00,76.70,48.60,60.00,76.70
1987-01-01,53.21,-112.71,49.60,62.50,77.70,49.60,62.00,78.00,49.60,63.00,78.00
1988-01-01,53.21,-112.71,52.40,63.00,86.00,52.40,63.00,86.00,52.00,63.00,88.10
1989-01-01,53.21,-112.71,47.80,66.00,77.00,48.80,66.00,77.00,49.20,66.00,77.00
1990-01-01,53.21,-112.71,45.80,67.50,84.70,44.10,67.50,84.10,46.80,68.50,83.70
1991-01-01,53.21,-112.71,42.30,71.00,81.70,42.60,71.00,81.70,42.60,71.50,81.70
1992-01-01,53.21,-112.71,41.50,65.50,89.80,40.50,66.50,90.80,40.90,66.50,92.10
1993-01-01,53.21,-112.71,41.60,61.50,75.80,41.60,62.00,76.10,41.60,62.00,76.10
1994-01-01,53.21,-112.71,50.20,63.50,80.40,48.50,63.50,79.40,48.50,63.50,79.10
1995-01-01,53.21,-112.71,35.60,62.50,87.40,36.30,62.50,88.50,36.30,62.50,88.50
1996-01-01,53.21,-112.71,44.50,66.00,85.20,43.80,66.00,85.20,45.20,66.00,85.20
1997-01-01,53.21,-112.71,42.00,61.00,88.40,41.30,61.00,88.40,41.30,61.50,89.10
1998-01-01,53.21,-112.71,42.60,63.00,89.80,42.60,63.00,90.10,41.90,63.00,90.10
1999-01-01,53.21,-112.71,43.90,63.50,74.70,44.20,62.50,75.90,44.90,63.00,75.40
2000-01-01,53.21,-112.71,40.20,62.00,80.90,40.20,61.00,80.50,40.20,61.50,80.50
2001-01-01,53.21,-112.71,47.30,67.00,82.70,47.60,66.50,83.70,47.60,67.00,84.00
2002-01-01,53.21,-112.71,37.30,61.00,85.40,36.30,61.50,85.70,37.00,60.50,86.70
2003-01-01,53.21,-112.71,43.60,62.00,80.50,43.00,62.50,80.50,44.30,63.50,80.50
2004-01-01,53.21,-112.71,41.90,61.00,80.40,41.90,62.00,80.00,42.50,61.50,80.40
2005-01-01,53.21,-112.71,44.20,58.00,80.00,45.20,59.00,80.00,44.00,59.50,82.40
2006-01-01,53.21,-112.71,48.30,58.50,73.40,39.30,55.00,70.70,43.20,55.00,72.20
2007-01-01,53.21,-112.71,36.50,53.00,76.40,28.60,66.50,80.80,37.90,55.50,75.30
2008-01-01,53.21,-112.71,43.30,55.00,68.40,44.00,62.00,74.40,39.60,59.00,81.50
2009-01-01,53.21,-112.71,36.60,52.50,74.90,40.90,56.50,75.70,40.60,58.00,77.50
2010-01-01,53.21,-112.71,39.30,56.50,82.40,39.60,61.00,77.40,36.20,59.50,77.70
2011-01-01,53.21,-112.71,40.60,58.50,82.40,32.00,55.50,72.00,41.70,62.50,76.70
2012-01-01,53.21,-112.71,38.00,55.50,69.40,40.60,57.00,75.10,34.60,58.50,83.00
2013-01-01,53.21,-112.71,38.60,50.50,70.80,41.30,57.50,76.10,35.30,54.00,82.50
2014-01-01,53.21,-112.71,35.30,51.00,77.20,33.30,60.50,70.10,36.90,55.50,77.20
2015-01-01,53.21,-112.71,40.20,52.00,76.60,41.30,58.50,73.10,44.30,55.50,73.10
2016-01-01,53.21,-112.71,24.50,50.00,63.70,42.20,58.50,80.80,40.30,56.50,68.40
2017-01-01,53.21,-112.71,40.60,63.00,79.00,47.00,54.50,73.00,35.90,52.00,76.40
2018-01-01,53.21,-112.71,42.30,52.00,79.00,35.30,62.00,80.40,31.90,54.00,76.80
2019-01-01,53.21,-112.71,42.60,58.50,75.50,35.90,55.50,65.80,37.00,53.50,78.40
2020-01-01,53.21,-112.71,35.20,55.00,72.40,38.60,57.00,71.70,34.30,54.00,74.80
2021-01-01,53.21,-112.71,42.30,56.50,67.40,39.00,59.00,71.80,41.90,59.50,69.00
2022-01-01,53.21,-112.71,37.60,61.00,77.40,47.30,63.00,79.70,32.30,47.50,73.40
2023-01-01,53.21,-112.71,40.30,54.50,70.40,36.90,51.00,86.60,32.10,50.50,70.40
2024-01-01,53.21,-112.71,33.90,49.00,77.00,31.00,48.50,58.70,35.30,51.00,74.70
2025-01-01,53.21,-112.71,44.30,56.50,78.00,38.30,56.00,72.40,35.50,57.50,73.00
2026-01-01,53.21,-112.71,35.20,58.00,67.80,33.30,47.50,66.70,36.80,52.50,74.80
2027-01-01,53.21,-112.71,30.30,50.50,76.30,38.20,57.00,68.00,38.00,52.50,72.20
2028-01-01,53.21,-112.71,30.20,52.50,64.40,27.90,48.50,73.00,28.00,49.00,64.70
2029-01-01,53.21,-112.71,35.30,52.00,72.90,39.90,58.50,76.40,32.30,46.00,65.00
2030-01-01,53.21,-112.71,36.00,55.00,64.40,37.60,59.00,72.80,25.00,43.50,72.50
2031-01-01,53.21,-112.71,30.80,55.00,76.10,33.60,53.00,66.00,36.30,52.50,67.70
2032-01-01,53.21,-112.71,36.30,54.00,76.80,34.00,47.00,70.70,36.00,56.00,69.70
2033-01-01,53.21,-112.71,36.60,53.00,69.40,39.00,49.50,72.90,26.60,50.00,70.20
2034-01-01,53.21,-112.71,30.30,51.50,63.00,32.20,50.00,66.70,25.00,47.00,71.40
2035-01-01,53.21,-112.71,36.30,56.50,76.40,29.30,49.00,77.80,30.30,46.00,67.80
2036-01-01,53.21,-112.71,32.90,53.50,66.10,34.30,48.00,70.90,32.50,55.00,76.00
2037-01-01,53.21,-112.71,34.90,50.50,69.40,24.60,40.50,61.10,20.60,50.00,64.40
2038-01-01,53.21,-112.71,35.10,58.00,70.70,30.20,47.00,61.60,31.20,46.50,60.00
2039-01-01,53.21,-112.71,28.90,49.00,75.20,25.90,47.00,67.40,21.30,47.00,70.70
2040-01-01,53.21,-112.71,32.30,46.00,59.40,33.00,49.00,68.40,31.60,46.00,73.40
2041-01-01,53.21,-112.71,30.90,55.00,77.40,27.10,47.00,66.80,24.20,41.00,66.00
2042-01-01,53.21,-112.71,38.30,53.50,71.30,25.30,45.00,57.70,23.00,46.00,64.10
2043-01-01,53.21,-112.71,35.60,55.50,65.10,23.90,42.00,65.70,21.30,44.00,64.20
2044-01-01,53.21,-112.71,30.30,53.50,73.40,26.60,44.00,63.10,27.30,48.00,61.00
2045-01-01,53.21,-112.71,26.30,48.50,68.20,31.30,43.00,69.20,24.90,43.50,67.60
2046-01-01,53.21,-112.71,34.30,47.00,68.40,22.90,39.50,56.70,29.90,45.00,63.20
2047-01-01,53.21,-112.71,28.20,51.50,73.10,25.90,42.00,61.70,22.50,41.50,60.80
